date,new_cases,new_deaths,new_cases_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,positive_rate,tests_per_case,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,stringency_index,tests_units_not performed,tests_units_tests performed
2020-03-01,-0.6847600578880064,-1.2302813581763647,-0.6847601015417087,-2.064156333006102,-1.2522346547758225,-1.2522344635342872,-1.1394722112213571,-1.139472193065437,-1.1218942392209634,-1.1218942711721407,-1.2540799943905934,-1.6409921052376717,-1.2540800627665534,-1.6410209651578753,-1.3802276283858779,-1.3619402357004822,-0.9364852269529133,-0.983958736778621,-0.9408993955108745,-0.5007389537914845,-0.7586378519492268,-0.9364837586609657,-0.9839606478736819,-0.9408998781222117,-0.4970973478131488,-3.2426806530158734,-0.22418236317507875,0.2241823631750785
2020-03-02,-0.6846492824724192,-1.2252099344110736,-0.6846494651277695,-2.064156333006102,-1.2522346547758225,-1.2522344635342872,-1.1394722112213571,-1.139472193065437,-1.1218942392209634,-1.1218942711721407,-1.2540781297350032,-1.6407314583875812,-1.254077652001658,-1.6405013648036342,-1.3802276283858779,-1.3619402357004822,-0.9364852269529133,-0.983958736778621,-0.9408993955108745,-0.5007389537914845,-0.7586378519492268,-0.9364837586609657,-0.9839606478736819,-0.9408998781222117,-0.4970973478131488,-3.0627007075629917,-0.22418236317507875,0.2241823631750785
2020-03-03,-0.684676976326316,-1.2292670734233064,-0.6846771242312543,-2.064156333006102,-1.2522346547758225,-1.2522344635342872,-1.1394722112213571,-1.139472193065437,-1.1218942392209634,-1.1218942711721407,-1.254075884906914,-1.6405675786315363,-1.2540764466192105,-1.6405013648036342,-1.3802276283858779,-1.3619402357004822,-0.9364852269529133,-0.983958736778621,-0.9408993955108745,-0.5007389537914845,-0.7586378519492268,-0.9364837586609657,-0.9839606478736819,-0.9408998781222117,-0.4970973478131488,-3.0627007075629917,-0.22418236317507875,0.2241823631750785
2020-03-04,-0.6845800478376771,-1.2262242191641317,-0.6845803173690574,-2.064156333006102,-1.2522346547758225,-1.2522344635342872,-1.1394722112213571,-1.139472193065437,-1.1218942392209634,-1.1218942711721407,-1.2540726588717086,-1.6401446127849826,-1.2540728304718671,-1.6399817644493928,-1.3802276283858779,-1.3619402357004822,-0.9364852269529133,-0.983958736778621,-0.9408993955108745,-0.5007389537914845,-0.7586378519492268,-0.9364837586609657,-0.9839606478736819,-0.9408998781222117,-0.4970973478131488,-3.0627007075629917,-0.22418236317507875,0.2241823631750785
2020-03-05,-0.6842754154448121,-1.2292670734233064,-0.6842760672307244,5.1296070941605185,-1.2522346547758225,-1.2522344635342872,-1.1394722112213571,-1.139472193065437,-1.1218942392209634,-1.1218942711721407,-1.2540683031810775,-1.639657655795592,-1.2540680089420764,-1.6394621640951517,-1.3802276283858779,-1.3619402357004822,-0.9364852269529133,-0.983958736778621,-0.9408993955108745,-0.5007389537914845,-0.7586378519492268,-0.9364837586609657,-0.9839606478736819,-0.9408998781222117,-0.4970973478131488,-2.463199162637208,-0.22418236317507875,0.2241823631750785
2020-03-06,-0.684441578568193,-1.2282527886702483,-0.6844420218516333,5.010373446196431,-1.2522346547758225,-1.2522344635342872,-1.1394722112213571,-1.139472193065437,-1.1218942392209634,-1.1218942711721407,-1.254062792490188,-1.6391597734891319,-1.2540631874122854,-1.6389425637409105,-1.3802276283858779,-1.3619402357004822,-0.9364852269529133,-0.983958736778621,-0.9408993955108745,-0.5007389537914845,-0.7586378519492268,-0.9364837586609657,-0.9839606478736819,-0.9408998781222117,-0.4970973478131488,-2.463199162637208,-0.22418236317507875,0.2241823631750785
2020-03-07,-0.6836592271956077,-1.22723850391719,-0.6836583472528966,5.069990270178474,-1.2522346547758225,-1.2522344635342872,-1.1394722112213571,-1.139472193065437,-1.1218942392209634,-1.1218942711721407,-1.2540563766266815,-1.638769583593787,-1.2540559551175992,-1.6389425637409105,0.49359838652180943,-0.5739442649451595,-0.9364852269529133,-0.983958736778621,-0.9408993955108745,-0.5007389537914845,-0.7586378519492268,-0.9364837586609657,-0.9839606478736819,-0.9408998781222117,-0.4970973478131488,-2.463199162637208,-0.22418236317507875,0.2241823631750785
2020-03-08,-0.684005400369318,-1.2262242191641317,-0.6840063909717473,4.8116506995896176,-1.2522346547758225,-1.2522344635342872,-1.1394722112213571,-1.139472193065437,-1.1218942392209634,-1.1218942711721407,-1.2540504350736263,-1.6389740430989477,-1.2540499282053605,-1.6389425637409105,0.562999350036909,-0.6078365647625927,-0.9364852269529133,-0.983958736778621,-0.9408993955108745,-0.5007389537914845,-0.7586378519492268,-0.9364837586609657,-0.9839606478736819,-0.9408998781222117,-0.4970973478131488,-2.463199162637208,-0.22418236317507875,0.2241823631750785
2020-03-09,-0.6842892623717605,-1.2292670734233064,-0.6842898967824668,4.5135665796794,-1.2522346547758225,-1.2522344635342872,-1.1394722112213571,-1.139472193065437,-1.1218942392209634,-1.1218942711721407,-1.2540417490371976,-1.637790987336262,-1.2540414905282269,-1.637903363032428,0.5282988682793592,-0.5908904148538762,-0.9364852269529133,-0.983958736778621,-0.9408993955108745,-0.5007389537914845,-0.7586378519492268,-0.9364837586609657,-0.9839606478736819,-0.9408998781222117,-0.4970973478131488,-2.463199162637208,-0.22418236317507875,0.2241823631750785
2020-03-10,-0.6835069109991752,-1.2241956496580153,-0.6835062221837301,4.593055678322125,-1.2522346547758225,-1.2522344635342872,-1.1394722112213571,-1.139472193065437,-1.1218942392209634,-1.1218942711721407,-1.2540291490343747,-1.6361038062287905,-1.2540294367037497,-1.6363445619697048,0.5803495909156839,-0.6163096397169511,-0.9364852269529133,-0.983958736778621,-0.9408993955108745,-0.5007389537914845,-0.7586378519492268,-0.9364837586609657,-0.9839606478736819,-0.9408998781222117,-0.4970973478131488,-2.463199162637208,-0.22418236317507875,0.2241823631750785
2020-03-11,-0.6822814579642408,-1.2252099344110736,-0.6822823068545267,4.732161600946893,-1.2522346547758225,-1.2522344635342872,-1.1394722112213571,-1.139472193065437,-1.1218942392209634,-1.1218942711721407,-1.254011650237351,-1.633992098515184,-1.2540113559670338,-1.6337465601984986,0.5456491091581341,-0.5993634898082345,-0.9364852269529133,-0.983958736778621,-0.9408993955108745,-0.5007389537914845,-0.7586378519492268,-0.9364837586609657,-0.9839606478736819,-0.9408998781222117,-0.4970973478131488,-2.3732091899107672,-0.22418236317507875,0.2241823631750785
2020-03-12,-0.6817691216671495,-1.2201385106457825,-0.681768308514767,4.692417051625531,-1.2522346547758225,-1.2522344635342872,-1.1394722112213571,-1.139472193065437,-1.1218942392209634,-1.1218942711721407,-1.2539794731611766,-1.6276647791722705,-1.2539800160233934,-1.6275113559476047,0.4241974230067098,-0.5485250400820847,-0.9364852269529133,-0.983958736778621,-0.9408993955108745,-0.5007389537914845,-0.7586378519492268,-0.9364837586609657,-0.9839606478736819,-0.9408998781222117,-0.4970973478131488,-1.8339167634278533,-0.22418236317507875,0.2241823631750785
2020-03-13,-0.6804259697531536,-1.222167080151899,-0.6804268419957532,4.732161600946893,-1.2522346547758225,-1.2522344635342872,-1.1394722112213571,-1.139472193065437,-1.1218942392209634,-1.1218942711721407,-1.2539369952206258,-1.6232244181632454,-1.253936622255276,-1.6233545531136753,0.3547964594916105,-0.5146327402646514,-0.9364852269529133,-0.983958736778621,-0.9408993955108745,-0.5007389537914845,-0.7586378519492268,-0.9364837586609657,-0.9839606478736819,-0.9408998781222117,-0.4970973478131488,-1.8339167634278533,-0.22418236317507875,0.2241823631750785
2020-03-14,-0.6795536133554037,-1.2231813649049572,-0.6795532753106909,4.632800227643487,-1.2522346547758225,-1.2522344635342872,-1.1394722112213571,-1.139472193065437,-1.1218942392209634,-1.1218942711721407,-1.2538897922790162,-1.6211876269095449,-1.253889612339815,-1.6212761516967107,0.3200959777340607,-0.4976865903559348,-0.9364852269529133,-0.983958736778621,-0.9408993955108745,-0.5007389537914845,-0.7586378519492268,-0.9364837586609657,-0.9839606478736819,-0.9408998781222117,-0.4970973478131488,-1.4739568725220908,-0.22418236317507875,0.2241823631750785
2020-03-15,-0.6831884316793617,-1.218109941139666,-0.6831881424936547,4.692417051625531,-1.2522346547758225,-1.2522344635342872,-1.1394722112213571,-1.139472193065437,-1.1218942392209634,-1.1218942711721407,-1.2538374950259206,-1.6189916381785436,-1.2538377808945635,-1.6191977502797459,0.3027457368552858,-0.4892135154015764,-0.9364852269529133,-0.983958736778621,-0.9408993955108745,-0.5007389537914845,-0.7586378519492268,-0.9364837586609657,-0.9839606478736819,-0.9408998781222117,-0.4970973478131488,-1.1146443914920579,-0.22418236317507875,0.2241823631750785
2020-03-16,-0.6746518012156659,-1.2028956698437925,-0.674650699218006,5.1296070941605185,-1.2522346547758225,-1.2522344635342872,-1.1394722112213571,-1.139472193065437,-1.1218942392209634,-1.1218942711721407,-1.2537385850037615,-1.5988984193278617,-1.2537389395338512,-1.5989333364643403,0.3027457368552858,-0.4892135154015764,-0.9364852269529133,-0.983958736778621,-0.9408993955108745,-0.5007389537914845,-0.7586378519492268,-0.9364837586609657,-0.9839606478736819,-0.9408998781222117,-0.4970973478131488,-0.39537201955626283,-0.22418236317507875,0.2241823631750785
